pl_hostname,pl_rade,pl_eqt
Kepler-435,22.310,1729
OGLE-TR-056,15.278,2212
OGLE-TR-132,13.450,2013
Qatar-1,12.812,1418
Qatar-2,14.056,1344
TrES-5,13.384,1480
WASP-2,12.005,1304
WASP-5,12.184,1706
WASP-7,14.908,1487
WASP-10,12.106,1370
WASP-19,15.603,2520
WASP-20,16.388,1379
WASP-28,13.597,1468
WASP-36,14.874,1733
WASP-42,12.576,1021
K2-100,3.590,1748
XO-6,23.203,1577
WASP-46,13.159,1636
WASP-52,14.240,1315
WASP-57,11.769,1338
WASP-59,8.687,670
WASP-120,16.511,1880
WASP-64,14.247,1689
WASP-65,12.464,1480
WASP-70 A,13.047,1387
WASP-75,14.235,1710
WASP-80,11.198,825
WASP-84,10.559,797
WASP-123,14.773,1520
HATS-25,14.123,1277
HATS-26,19.616,1918
HATS-27,16.814,1659
HATS-28,13.384,1253
HATS-29,14.022,1212
HATS-30,13.171,1414
WASP-121,20.905,2358
HATS-15,12.386,1505
HATS-16,14.572,1592
WASP-157,11.190,1193
K2-36,1.320,1232
K2-36,2.800,793
WASP-96,13.450,1285
WASP-98,12.823,1171
WASP-103,17.127,2508
WASP-104,12.745,1516
WTS-1,16.700,1500
WTS-2,15.278,2000
WISEP J121756.91+162640.2 A,10.468,450
K2-37,1.610,974
K2-37,2.750,861
K2-37,2.730,663
K2-38,2.420,858
K2-8,2.410,801
HATS-11,18.030,1596
HATS-12,7.760,1446
K2-97,10.610,1499
K2-98,5.200,1092
XO-5,12.780,1230
HATS-9,13.850,1746
HATS-10,10.862,1407
HAT-P-55,13.249,1313
Kepler-452,1.630,265
WASP-83,11.657,1120
WASP-89,11.657,1120
Kepler-730,12.330,1219
HATS-8,9.785,1324
K2-30,11.646,1092
K2-110,2.560,575
KELT-9,21.196,4050
K2-113,12.140,1098
K2-212,2.520,542
K2-214,2.430,1006
K2-216,1.750,1103
K2-280,7.670,744
K2-281,8.180,665
K2-282,2.820,1057
K2-283,3.520,1186
K2-284,2.780,653
K2-232,11.209,1030
HATS-39,17.598,1645
HATS-40,17.710,2101
HATS-41,14.908,1710
HATS-42,15.693,1856
WASP-161,12.812,1557
WASP-163,13.473,1638
WASP-170,12.285,1422
K2-285,2.590,1089
K2-285,3.530,741
K2-285,2.480,620
K2-285,1.950,501
HD 219666,4.710,1073
HD 1397,11.500,1228
Qatar-7,19.055,2053
K2-286,2.100,347
K2-288 B,1.900,226
K2-289,9.100,753
HD 202772 A,17.318,2132
NGTS-5,12.733,952
NGTS-4,3.180,1650
TOI 172,10.817,1198
PDS 70,14.572,1200
HATS-60,12.924,1528
HATS-61,13.395,1226
HATS-62,11.825,1237
HATS-63,13.529,1398
HATS-64,18.820,1793
HATS-65,16.825,1634
HATS-66,15.816,1998
HATS-67,18.887,2193
HATS-68,13.809,1741
HATS-69,10.593,1296
K2-290,3.060,1230
K2-290,11.276,676
HD 119130,2.630,795
HATS-70,15.513,2730
